1,na,0
2,Casement Park,1
3,P†irc Mac U°l°n,1
4,Pearse Park Dunloy,1
5,St. Patrick's Park Loughguile,1
6,Athletic Grounds,2
7,Keady,2
8,St. Oliver Plunkett Park,2
9,Dr Cullen Park,3
10,Cusack Park Ennis,4
11,P†irc U° Chaoimh,5
12,P†irc U° Rinn,5
13,Ballinascreen,6
14,Celtic Park,6
15,Owenbeg,6
16,Fr. Tierney Park,7
17,O'Donnell Park,7
18,McKenna Park,8
19,P†irc Esler,8
20,St. Colman's College,8
21,Croke Park,9
22,Parnell Park,9
23,Brewster Park,10
24,Irvinestown,10
25,Maguiresbridge,10
26,St. Patrick's Park Donagh,10
27,DCU Showgrounds,11
28,Lawless Memorial Park,11
29,Naomh Barr¢g,11
30,St. Maurs,11
31,Pearse Stadium,12
32,Austin Stack Park,13
33,Fitzgerald Stadium,13
34,St. Conleth's Park,14
35,Nowlan Park,15
36,O'Moore Park,17
37,P†irc Se†n Mac Diarmada,18
38,P†irc She†in U° Eislin,18
39,Fitzgerald Park,19
40,Gaelic Grounds,19
41,Emerald GAA Grounds,20
42,Greenford,20
43,Allen Park,21
44,Michael Fay Park,21
45,Pearse Park Longford,21
46,Darver Centre of Excellence,22
47,P†irc U° Mhuir°,22
48,St. Brigid's Park,22
49,Connacht Centre of Excellence,23
50,James Stephens Park,23
51,MacHale Park,23
52,P†irc Tailteann,24
53,St. Loman's Park,24
54,Aughnamullen,25
55,Iniskeen,25
56,St. Mary's Park,25
57,St. Tiernach's Park,25
58,O'Connor Park,26
59,St. Brendan's Park,26
60,Athleague,27
61,Woodmount,27
62,Kilcoyne Park,28
63,Markievicz Park,28
64,Sligo GAA Centre of Excellence,28
65,Semple Stadium,29
66,Carrickmore,30
67,Healy Park,30
68,Killyclogher,30
69,O'Neill Park,30
70,Sigerson Park,30
71,P†irc na hêireann,31
72,Fraher Field,32
73,Walsh Park,32
74,Cusack Park Mullingar,33
75,O'Kennedy Park,34
76,Wexford Park,34
77,Aughrim County Ground,35
78,Pearse Park Arklow,35
79,Breffni Park,36
