1,Antrim,1775,
2,Armagh,1450,
3,Carlow,1700,
4,Clare,1850,
5,Cork,1975,
6,Derry,1650,
7,Donegal,1300,
8,Down,1575,
9,Dublin,1875,
10,Fermanagh,1250,
11,Fingal,1375,
12,Galway,1900,
13,Kerry,1625,
14,Kildare,1550,
15,Kilkenny,2000,
16,Lancashire,1000,
17,Laois,1725,
18,Leitrim,1200,
19,Limerick,1825,
20,London,1475,
21,Longford,1175,
22,Louth,1350,
23,Mayo,1500,
24,Meath,1525,
25,Monaghan,1400,
26,Offaly,1800,
27,Roscommon,1425,
28,Sligo,1275,
29,Tipperary,1950,
30,Tyrone,1325,
31,Warwickshire,1225,
32,Waterford,1925,
33,Westmeath,1675,
34,Wexford,1750,
35,Wicklow,1600,
36,Cavan,0,
0,na,0,
